arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
flat,single,0,weighted_cka,0,1,0.009783393598626271,300.0,0.1823759377002716,0.031971391290426254,0,0.009783393598626271,0.009783393598626271,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009783393598626271,0.009783393598626271
flat,single,0,weighted_cka,0,2,0.21130954304389782,300.0,0.1413193941116333,0.03289436548948288,0,0.21130954304389782,0.21130954304389782,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21130954304389782,0.21130954304389782
flat,single,0,weighted_cka,0,3,0.30774346777325157,300.0,0.1571049690246582,0.07881534844636917,0,0.30774346777325157,0.30774346777325157,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30774346777325157,0.30774346777325157
flat,single,0,weighted_cka,0,4,1.2558606406865684,300.0,0.3993814289569855,0.1274564266204834,0,1.2558606406865684,1.2558606406865684,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2558606406865684,1.2558606406865684
flat,single,0,weighted_cka,0,5,1.7281829310404633,300.0,0.5077508091926575,0.18173100054264069,0,1.7281829310404633,1.7281829310404633,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7281829310404633,1.7281829310404633
flat,single,0,weighted_cka,0,6,0.8312429621925719,300.0,0.375941663980484,0.18533961474895477,0,0.8312429621925719,0.8312429621925719,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8312429621925719,0.8312429621925719
flat,single,0,weighted_cka,0,7,0.9875513415347075,300.0,0.49010342359542847,0.2342095971107483,0,0.9875513415347075,0.9875513415347075,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875513415347075,0.9875513415347075
flat,single,0,weighted_cka,0,8,0.8706676020146449,300.0,0.35247087478637695,0.17871719598770142,0,0.8706676020146449,0.8706676020146449,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8706676020146449,0.8706676020146449
flat,single,0,weighted_cka,0,9,1.9251365534364582,300.0,0.6007956266403198,0.30088260769844055,0,1.9251365534364582,1.9251365534364582,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9251365534364582,1.9251365534364582
flat,single,0,weighted_cka,0,10,1.3816980984061944,300.0,0.4500037729740143,0.18560101091861725,0,1.3816980984061944,1.3816980984061944,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3816980984061944,1.3816980984061944
flat,single,0,weighted_cka,0,11,2.1500958619239086,300.0,0.6233400106430054,0.3015429675579071,0,2.1500958619239086,2.1500958619239086,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1500958619239086,2.1500958619239086
flat,single,0,weighted_cka,0,12,0.5060229517259347,300.0,0.2823231816291809,0.07772276550531387,0,0.5060229517259347,0.5060229517259347,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060229517259347,0.5060229517259347
flat,single,0,weighted_cka,0,13,1.2475188703916489,300.0,0.4958341717720032,0.14545905590057373,0,1.2475188703916489,1.2475188703916489,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2475188703916489,1.2475188703916489
flat,single,0,weighted_cka,0,14,1.1855411855518456,300.0,0.4082006514072418,0.1153528168797493,0,1.1855411855518456,1.1855411855518456,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1855411855518456,1.1855411855518456
flat,single,0,weighted_cka,0,15,1.3612043135577538,300.0,0.46209830045700073,0.21642589569091797,0,1.3612043135577538,1.3612043135577538,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3612043135577538,1.3612043135577538
flat,single,0,weighted_cka,0,16,0.9602942327830524,300.0,0.47152599692344666,0.228463277220726,0,0.9602942327830524,0.9602942327830524,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9602942327830524,0.9602942327830524
flat,single,0,weighted_cka,0,17,1.533240809496418,300.0,0.46950069069862366,0.06382814049720764,0,1.533240809496418,1.533240809496418,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.533240809496418,1.533240809496418
flat,single,0,weighted_cka,0,18,1.2222291355879848,300.0,0.4046972692012787,0.13432836532592773,0,1.2222291355879848,1.2222291355879848,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2222291355879848,1.2222291355879848
flat,single,0,weighted_cka,0,19,2.185497869132085,300.0,0.604396402835846,0.21084323525428772,0,2.185497869132085,2.185497869132085,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185497869132085,2.185497869132085
flat,single,0,weighted_cka,0,20,1.8472359403494907,300.0,0.5961287021636963,0.23741747438907623,0,1.8472359403494907,1.8472359403494907,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8472359403494907,1.8472359403494907
flat,single,0,weighted_cka,0,21,0.6455563088841917,300.0,0.4196926951408386,0.03403206169605255,0,0.6455563088841917,0.6455563088841917,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6455563088841917,0.6455563088841917
flat,single,0,weighted_cka,0,22,1.50678559506341,300.0,0.6180942058563232,0.4501674175262451,0,1.50678559506341,1.50678559506341,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50678559506341,1.50678559506341
flat,single,0,weighted_cka,0,23,2.395800052156197,300.0,0.6840695738792419,0.6036310791969299,0,2.395800052156197,2.395800052156197,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.395800052156197,2.395800052156197
flat,single,0,weighted_cka,0,24,1.8308725314964236,300.0,0.5783697962760925,0.35710957646369934,0,1.8308725314964236,1.8308725314964236,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8308725314964236,1.8308725314964236
flat,single,0,weighted_cka,0,25,1.273369722591814,300.0,0.4625694751739502,0.10539321601390839,0,1.273369722591814,1.273369722591814,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273369722591814,1.273369722591814
flat,single,0,weighted_cka,0,26,1.4626807537721094,300.0,0.5401221513748169,0.36579301953315735,0,1.4626807537721094,1.4626807537721094,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4626807537721094,1.4626807537721094
flat,single,0,weighted_cka,0,27,1.6476559760549194,300.0,0.5362595319747925,0.1068977415561676,0,1.6476559760549194,1.6476559760549194,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6476559760549194,1.6476559760549194
flat,single,0,weighted_cka,0,28,1.3746573496642656,300.0,0.4895017743110657,0.19525735080242157,0,1.3746573496642656,1.3746573496642656,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3746573496642656,1.3746573496642656
flat,single,0,weighted_cka,0,29,1.2515621249118327,300.0,0.4804001748561859,0.07819914817810059,0,1.2515621249118327,1.2515621249118327,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2515621249118327,1.2515621249118327
flat,single,0,weighted_cka,0,30,1.720873784866852,300.0,0.5644840002059937,0.14146314561367035,0,1.720873784866852,1.720873784866852,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.720873784866852,1.720873784866852
flat,single,0,weighted_cka,0,31,2.3437332919296736,300.0,0.6631873250007629,0.49618980288505554,0,2.3437332919296736,2.3437332919296736,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3437332919296736,2.3437332919296736
flat,single,0,weighted_cka,0,32,1.7807412397596623,300.0,0.562413215637207,0.24293836951255798,0,1.7807412397596623,1.7807412397596623,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7807412397596623,1.7807412397596623
flat,single,0,weighted_cka,0,33,1.3960356737361836,300.0,0.5735912322998047,0.3054623305797577,0,1.3960356737361836,1.3960356737361836,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3960356737361836,1.3960356737361836
flat,single,0,weighted_cka,0,34,1.3967491136587329,300.0,0.481546014547348,0.23002958297729492,0,1.3967491136587329,1.3967491136587329,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3967491136587329,1.3967491136587329
flat,single,0,weighted_cka,0,35,0.37072413509013025,300.0,0.3242167532444,0.16215857863426208,0,0.37072413509013025,0.37072413509013025,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37072413509013025,0.37072413509013025
flat,single,0,weighted_cka,0,36,0.43880597619225803,300.0,0.3670462667942047,0.13738282024860382,0,0.43880597619225803,0.43880597619225803,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43880597619225803,0.43880597619225803
flat,single,0,weighted_cka,0,37,1.3714673218033555,300.0,0.5173302888870239,0.21543245017528534,0,1.3714673218033555,1.3714673218033555,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3714673218033555,1.3714673218033555
flat,single,0,weighted_cka,0,38,0.8992671271486858,300.0,0.49551138281822205,0.19184993207454681,0,0.8992671271486858,0.8992671271486858,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8992671271486858,0.8992671271486858
flat,single,0,weighted_cka,0,39,0.4442484515864624,300.0,0.32452812790870667,0.12595020234584808,0,0.4442484515864624,0.4442484515864624,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4442484515864624,0.4442484515864624
flat,single,0,weighted_cka,0,40,0.7897522585114518,300.0,0.3949921131134033,0.15190263092517853,0,0.7897522585114518,0.7897522585114518,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7897522585114518,0.7897522585114518
flat,single,0,weighted_cka,0,41,0.2652935246849655,300.0,0.33403366804122925,0.07613113522529602,0,0.2652935246849655,0.2652935246849655,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652935246849655,0.2652935246849655
flat,single,0,weighted_cka,0,42,0.7612958583415083,300.0,0.4234001040458679,0.08617424219846725,0,0.7612958583415083,0.7612958583415083,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7612958583415083,0.7612958583415083
flat,single,0,weighted_cka,0,43,1.737975825775719,300.0,0.5639504194259644,0.16463053226470947,0,1.737975825775719,1.737975825775719,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737975825775719,1.737975825775719
flat,single,0,weighted_cka,0,44,1.217474210597719,300.0,0.46481719613075256,0.15553057193756104,0,1.217474210597719,1.217474210597719,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.217474210597719,1.217474210597719
flat,single,0,weighted_cka,0,45,1.8287186375728184,300.0,0.5991643071174622,0.2589578926563263,0,1.8287186375728184,1.8287186375728184,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8287186375728184,1.8287186375728184
flat,single,0,weighted_cka,0,46,0.8632059115217987,300.0,0.4307745397090912,0.13560928404331207,0,0.8632059115217987,0.8632059115217987,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8632059115217987,0.8632059115217987
flat,single,0,weighted_cka,0,47,0.5490519894299887,300.0,0.41857948899269104,0.002547703916206956,0,0.5490519894299887,0.5490519894299887,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5490519894299887,0.5490519894299887
flat,single,0,weighted_cka,0,48,1.0873111340857564,300.0,0.4259379506111145,0.061994679272174835,0,1.0873111340857564,1.0873111340857564,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873111340857564,1.0873111340857564
flat,single,0,weighted_cka,0,49,0.7881455883136357,300.0,0.40876132249832153,0.23540948331356049,0,0.7881455883136357,0.7881455883136357,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881455883136357,0.7881455883136357
flat,single,0,weighted_cka,0,50,0.9152786221211036,300.0,0.37135428190231323,0.19499485194683075,0,0.9152786221211036,0.9152786221211036,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9152786221211036,0.9152786221211036
flat,single,0,weighted_cka,0,51,1.4067142368454357,300.0,0.5235092639923096,0.2407558560371399,0,1.4067142368454357,1.4067142368454357,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4067142368454357,1.4067142368454357
