arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
flat,single,0,off,0,25,-3.889733219099421,300,0.9183887839317322,0.8458763360977173,0,-3.889733219099421,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,26,-3.7683114788058307,300,0.9130364656448364,0.7628576159477234,0,-3.7683114788058307,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,27,-3.7957860335063613,300,0.9390138983726501,0.8371948003768921,0,-3.7957860335063613,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,28,-3.9761778127510983,300,0.8317146301269531,0.2523258328437805,0,-3.9761778127510983,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,29,-4.380818533319677,300,0.8444375395774841,0.3477018177509308,0,-4.380818533319677,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,30,-4.1557970721652815,300,0.9294033050537109,0.8964276313781738,0,-4.1557970721652815,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,31,-4.00666166412992,300,0.8582922220230103,0.3124983608722687,0,-4.00666166412992,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,32,0.022376528640683957,132,0.9514171481132507,0.949999988079071,1,0.022376528640683957,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,33,-0.32930329535639796,146,0.9505713582038879,0.949999988079071,1,-0.32930329535639796,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,34,-1.1947659792512448,185,0.9567307829856873,0.949999988079071,1,-1.1947659792512448,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
