arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
flat,single,0,off,0,1,1.2825445239043731,400.0,0.6269298791885376,0.054176632314920425,0,1.2825445239043731,1.2825445239043731,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2825445239043731,1.2825445239043731
flat,single,0,off,0,2,1.1668622082516213,400.0,0.595650315284729,0.012682541273534298,0,1.1668622082516213,1.1668622082516213,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1668622082516213,1.1668622082516213
flat,single,0,off,0,3,1.2519004979340378,400.0,0.6338730454444885,0.05301033705472946,0,1.2519004979340378,1.2519004979340378,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2519004979340378,1.2519004979340378
flat,single,0,off,0,4,1.6572252529064762,400.0,0.6737903356552124,0.30391725897789,0,1.6572252529064762,1.6572252529064762,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6572252529064762,1.6572252529064762
flat,single,0,off,0,5,1.0379953922680847,400.0,0.5755588412284851,0.1258080154657364,0,1.0379953922680847,1.0379953922680847,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0379953922680847,1.0379953922680847
flat,single,0,off,0,6,1.5626233641320355,400.0,0.6621142625808716,0.367885559797287,0,1.5626233641320355,1.5626233641320355,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5626233641320355,1.5626233641320355
flat,single,0,off,0,7,1.3568130690824012,400.0,0.6846733093261719,0.06742888689041138,0,1.3568130690824012,1.3568130690824012,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3568130690824012,1.3568130690824012
flat,single,0,off,0,8,1.7169416153574566,400.0,0.7374840974807739,0.4839107096195221,0,1.7169416153574566,1.7169416153574566,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7169416153574566,1.7169416153574566
flat,single,0,off,0,9,2.067405915326722,400.0,0.7665952444076538,0.506378173828125,0,2.067405915326722,2.067405915326722,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067405915326722,2.067405915326722
flat,single,0,off,0,10,2.9069209337856465,400.0,0.8853572607040405,0.7823597192764282,0,2.9069209337856465,2.9069209337856465,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9069209337856465,2.9069209337856465
