arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,0,off,0,1,-2.6301727663511323,450.0,0.35140490531921387,0.13732896745204926,0,0.0,0.2160581275847964,7,0,off,0,0,0.0,0.0,0.0,0.29653528929224604,-1.3473618044698372,1.5437199832352384,-0.23000000000000007,0.8752190377040842,0.08989652112280544,0.28439786620903784,0.0,0.2160581275847964,0.2160581275847964
hrl,multi,0,off,0,2,-2.311129007287669,450.0,0.5136176347732544,0.22130313515663147,0,0.0,0.40633355142841576,7,0,off,0,0,0.0,0.0,0.0,0.4783557667697068,0.6766730680037764,1.4849225598794629,-0.04867120841693869,0.8604725887952761,-1.4748578757861275,0.8674399607537541,0.0,0.40633355142841576,0.40633355142841576
hrl,multi,0,off,0,3,-1.7092687403390336,450.0,0.641389012336731,0.24115268886089325,0,0.0,0.7830800962010497,7,0,off,0,0,0.0,0.0,0.0,-0.11185383003871469,1.5441402239653437,1.4924330643437889,-0.04474327661758177,1.0823445482097087,0.7262412954389696,0.7929986481058333,0.0,0.7830800962010497,0.7830800962010497
hrl,multi,0,off,0,4,-1.408865518430415,450.0,0.6749008893966675,0.24115268886089325,0,0.0,0.8079786051590323,7,0,off,0,0,0.0,0.0,0.0,1.5298424378089313,1.522950730889138,1.3720692940345587,0.03525672338241824,1.0184542228402027,1.5419026477936553,-1.364625820635679,0.0,0.8079786051590323,0.8079786051590323
hrl,multi,0,off,0,5,-1.436851145826322,450.0,0.6935279965400696,0.20102056860923767,0,0.0,0.8146869895680103,7,0,off,0,0,0.0,0.0,0.0,1.5784189935807125,1.6040396257977447,1.5281698320896893,-0.7922969088109408,1.108437676894507,1.0818792446844367,-0.4058395372600774,0.0,0.8146869895680103,0.8146869895680103
hrl,multi,0,off,0,6,-1.3403489795204258,450.0,0.6915577054023743,0.37616705894470215,0,0.0,0.8725452979485925,7,0,off,0,0,0.0,0.0,0.0,1.1152162835233506,1.1437915320980525,1.4518408300637797,-1.5246569531634262,1.5634880274479421,0.893250906265574,1.4648864594048747,0.0,0.8725452979485925,0.8725452979485925
hrl,multi,0,off,0,7,-0.5488160525088485,450.0,0.7219539880752563,0.23691293597221375,0,0.0,1.0294606454486197,7,0,off,0,0,0.0,0.0,0.0,1.6544231428135405,0.3909190920372294,1.538190488591709,-0.8573703231445658,1.5782795174674031,1.416794092790786,1.484988507584236,0.0,1.0294606454486197,1.0294606454486197
hrl,multi,0,off,0,8,0.4980734388180158,401.0,0.8051888346672058,0.8002696633338928,1,0.0,1.2948915526355564,7,0,off,0,0,0.0,0.0,0.0,1.6539802715375544,1.2118148061686214,1.5080402215522195,0.18984013936518396,1.497120701912071,1.4672307144179357,1.5362140134953093,0.0,1.2948915526355564,1.2948915526355564
hrl,multi,0,off,0,9,1.5485482719121477,296.0,0.8042778968811035,0.8004522919654846,1,0.0,1.4393209976689545,7,0,off,0,0,0.0,0.0,0.0,1.674976838743385,1.1616077724619827,1.492049370778721,1.357227986129951,1.5877006298983998,1.4352812339827918,1.3664031516874509,0.0,1.4393209976689545,1.4393209976689545
hrl,multi,0,off,0,10,1.277978037708014,323.0,0.8043690919876099,0.8004359602928162,1,0.0,1.4068046398532075,7,0,off,0,0,0.0,0.0,0.0,1.6241039332404328,1.2300877608215712,1.5493501949234278,1.3729347901355433,1.5578210851523369,0.9919026477936547,1.5214320669054853,0.0,1.4068046398532075,1.4068046398532075
hrl,multi,0,off,0,11,0.31742043995982105,420.0,0.8067342042922974,0.8028113842010498,1,0.0,1.2895530360087346,7,0,off,0,0,0.0,0.0,0.0,1.6730452144600132,-0.09927210812752324,1.5828842666774126,1.3454428174085062,1.535034718005533,1.3950660497725966,1.5946702938646045,0.0,1.2895530360087346,1.2895530360087346
hrl,multi,0,off,0,12,2.189589823130516,230.0,0.8043946027755737,0.8009656667709351,1,0.0,1.5350510685615002,7,0,off,0,0,0.0,0.0,0.0,1.6730452144600132,1.505140690051348,1.6095682771863462,1.3725248272164001,1.4938244025742224,1.4939299090843163,1.597324159357853,0.0,1.5350510685615002,1.5350510685615002
hrl,multi,0,off,0,13,-0.4034232174904901,450.0,0.7940443754196167,0.7124266028404236,0,0.0,1.152848964625902,7,0,off,0,0,0.0,0.0,0.0,1.6828286133957606,1.507048699544282,1.6290025350198665,-1.3709627373336375,1.5413671431702738,1.4984897002610635,1.5821687983237043,0.0,1.152848964625902,1.152848964625902
hrl,multi,0,off,0,14,-0.953219114438227,450.0,0.6958298087120056,0.18936093151569366,0,0.0,0.9552358474788897,7,0,off,0,0,0.0,0.0,0.0,1.6798047425735434,1.6170369048506013,1.5296304329156916,-2.322569836077425,1.5456720893852305,1.0319360518400056,1.6051405468645807,0.0,0.9552358474788897,0.9552358474788897
