arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
hrl,multi,0,off,0,1,12.676229586543922,300,0.5679997205734253,0.163230299949646,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.08419434470124543,3.091303665799205,3.106531995158002,3.139285708963871,0.061111126095056534,0.0991598913446069,3.0946428544819353,0.0
hrl,multi,0,off,0,2,5.968624346808063,300,0.27858883142471313,0.09730660170316696,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.08747763326391578,0.026831140741705894,3.211191898898687,0.10087773501873017,0.0208333320915699,2.4182379911420857,0.1031746156513691,0.0
hrl,multi,0,off,0,3,9.472596495060497,300,0.5496692061424255,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,3.1207663975917965,0.09680196386761963,3.2416707382948515,0.042328039184212685,0.058080801740288734,2.817466264590621,0.09548228979110718,0.0
hrl,multi,0,off,0,4,6.733783971474985,300,0.4501943588256836,0.19427898526191711,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.0963218305259943,0.13516461448743938,3.239768798885416,0.0731836361810565,0.0793650932610035,3.051448127068579,0.0585318710654974,0.0
hrl,multi,0,off,0,5,9.790371086847152,300,0.40594372153282166,0.18872161209583282,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.09683513245545328,3.156927444922621,3.1683122360904235,3.0922680585179476,0.12196968980133534,0.059614083264023066,0.09444444179534912,0.0
hrl,multi,0,off,0,6,12.930358407652239,300,0.7472004294395447,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.16522016525268557,3.1484714129590428,3.1994824325112856,0.06363637559115887,3.0918300628662108,0.08461749479174614,3.177100463680108,0.0
hrl,multi,0,off,0,7,9.186276265946798,300,0.46033671498298645,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.10363199329003692,0.10619212216697634,3.236503614918911,2.5137776354793457,0.04305555298924446,3.183115347102284,0.0,0.0
hrl,multi,0,off,0,8,6.383458387493737,300,0.43798738718032837,0.1729852706193924,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.05,0.07342996932566166,0.24569284273311498,2.6606360253092127,0.08009258657693863,0.06057855784893036,3.2130284056998786,0.0
hrl,multi,0,off,0,9,6.729144940001423,300,0.4776512682437897,0.18872161209583282,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.06960783898830414,3.1747407961171117,0.2173919845139608,3.0868486666236996,0.07870369777083397,0.02392988558858633,0.07792207039892673,0.0
hrl,multi,0,off,0,10,6.89279403531982,300,0.4619026780128479,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.1299214474391192,3.1793855878990143,0.2674355472030584,3.0445330354821634,0.11363637559115887,0.10330115020042285,0.054580891504883766,0.0
hrl,multi,0,off,0,11,12.763144971715246,300,0.6208861470222473,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.04305555298924446,3.1409635665593667,3.276018680148718,0.025641024112701416,0.1476190447807312,2.9463475555647163,3.1834995475597676,0.0
hrl,multi,0,off,0,12,9.393971990654245,300,0.5278845429420471,0.1332206428050995,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.09128273180685938,3.104264094229438,3.096978699028841,-0.06785329058766365,0.13013652712106705,2.929457051493227,0.10970617756247521,0.0
hrl,multi,0,off,0,13,9.477533213983406,300,0.5139802098274231,0.18872161209583282,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.08096865587867796,3.1908913987193954,3.267831791023491,0.06477802526205778,0.05,2.7952855669776904,0.0277777761220932,0.0
hrl,multi,0,off,0,14,6.816221842242522,300,0.614820659160614,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.10742249498143792,3.091284025821369,0.2113094797008671,3.1018915903085142,0.1019539744593203,0.12648308919742704,0.07587718777358532,0.0
hrl,multi,0,off,0,15,9.850504044882836,300,0.4813566505908966,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.0277777761220932,3.2058841928257604,3.2675167940062235,3.0821314731263554,0.07377452403306961,0.09857749252114445,0.09484179224818945,0.0
hrl,multi,0,off,0,16,6.849373265128815,300,0.4104924201965332,0.16803701221942902,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.08421052359044552,3.147597746629617,3.2728328604920534,0.028643780807033184,0.08399470336735249,0.08149793815100566,0.1505957120913081,0.0
