arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,1,mutual,0,1,0.08878477253965578,300.0,0.13170519471168518,0.06382421404123306,0,0.0,0.017756954507931178,5,1,mutual,0,0,0.0,0.0,0.0,-0.30975810457285874,-0.10965474568679931,0.11208983848989007,0.1813475858047604,0.21476019850466344,0.0,0.017756954507931178,0.017756954507931178
hrl,multi,1,mutual,0,2,0.10668206757400078,300.0,0.1900995522737503,0.07160528749227524,0,0.0,0.021336413514800194,5,1,mutual,13,338,1.0,1.0,1.0,-0.1534609657314142,0.014373561711865442,-0.07472943724691869,-0.02153090468980374,0.3420298135302722,0.0,0.021336413514800194,0.021336413514800194
hrl,multi,1,mutual,0,3,0.6592293808782405,300.0,0.22953781485557556,0.06590450555086136,0,0.0,0.1318458761756481,5,1,mutual,19,494,1.0,1.0,1.0,-0.16182365772814963,0.028141662852838593,0.02245038666948675,-0.28765137102920585,1.0581123601132707,0.0,0.1318458761756481,0.1318458761756481
hrl,multi,1,mutual,0,4,0.6462993203723033,300.0,0.22968828678131104,0.0725611075758934,0,0.0,0.12925986407446072,5,1,mutual,19,494,1.0,1.263157894736842,1.263157894736842,-0.0606390059832313,-0.04064211129210891,-0.027110897310078142,-0.3445179649950009,1.1192092999527228,0.0,0.12925986407446072,0.12925986407446072
hrl,multi,1,mutual,0,5,0.5360975180985394,300.0,0.23897206783294678,0.061177391558885574,0,0.0,0.10721950361970793,5,1,mutual,25,650,1.0,2.0,2.0,-0.09235298290289944,-0.1872359898113646,0.09596127734333271,-0.4559883773582992,1.1757135908277703,0.0,0.10721950361970793,0.10721950361970793
hrl,multi,1,mutual,0,6,0.9693362945214163,300.0,0.32582542300224304,0.04745156690478325,0,0.0,0.19386725890428333,5,1,mutual,26,676,1.0,2.0,2.0,-0.233488729137651,-0.21408264718111608,-0.02577461500093343,0.1903525722504124,1.2523297135907048,0.0,0.19386725890428333,0.19386725890428333
hrl,multi,1,mutual,0,7,0.369847127971592,300.0,0.257040411233902,0.012876573950052261,0,0.0,0.07396942559431845,5,1,mutual,24,624,1.0,2.2916666666666665,2.0,-0.727747674470414,-0.042680068798363266,-0.05933079886808995,0.08426707741711281,1.1153385926913466,0.0,0.07396942559431845,0.07396942559431845
hrl,multi,1,mutual,0,8,0.24659617647994203,300.0,0.25274181365966797,0.06791993230581284,0,0.0,0.04931923529598842,5,1,mutual,25,650,1.0,3.56,2.0,0.5920564766372554,-0.0479849094003439,-0.04716505330055962,0.07910754996817548,-0.32941788742458517,0.0,0.04931923529598842,0.04931923529598842
hrl,multi,1,mutual,0,9,0.5298560278381036,300.0,0.22159287333488464,0.05204147845506668,0,0.0,0.10597120556762074,5,1,mutual,28,728,1.0,4.0,2.0,-0.1986145277782345,0.22603909238800401,0.012647770854644441,0.37567068977386214,0.1141130025998276,0.0,0.10597120556762074,0.10597120556762074
hrl,multi,1,mutual,0,10,0.27812550265370994,300.0,0.2707713544368744,0.08679843693971634,0,0.0,0.05562510053074201,5,1,mutual,28,728,1.0,4.0,2.0,-0.20772800104849762,-0.027215993270277992,0.06656133873760696,-0.17249092652089928,0.618999084755778,0.0,0.05562510053074201,0.05562510053074201
hrl,multi,1,mutual,0,11,0.15998554067918924,300.0,0.2750852108001709,0.05793993920087814,0,0.0,0.03199710813583787,5,1,mutual,26,676,1.0,4.0,2.0,0.12909199449745934,-0.20115090844035152,0.10513778161443765,-0.4965518280398106,0.6234585010474545,0.0,0.03199710813583787,0.03199710813583787
hrl,multi,1,mutual,0,12,0.628349976238677,300.0,0.30931735038757324,0.07484311610460281,0,0.0,0.12566999524773545,5,1,mutual,29,754,1.0,4.0,2.0,0.026004625161876866,-0.1268854617364705,0.5350154775977134,-0.5527782670450402,0.7469936022605977,0.0,0.12566999524773545,0.12566999524773545
hrl,multi,1,mutual,0,13,0.9723501699074393,300.0,0.47021913528442383,0.29427433013916016,0,0.0,0.1944700339814879,5,1,mutual,29,754,1.0,4.0,2.0,0.15578702625911678,-0.08987052956502892,0.0737364573162047,-0.3663147346872141,1.199011950584361,0.0,0.1944700339814879,0.1944700339814879
hrl,multi,1,mutual,0,14,1.434148056717821,300.0,0.510123610496521,0.2706754803657532,0,0.0,0.2868296113435643,5,1,mutual,31,806,1.0,4.0,2.0,-0.39433805785095355,0.12190525959245857,0.5226957646184599,0.03709845187515012,1.1467866384827063,0.0,0.2868296113435643,0.2868296113435643
hrl,multi,1,mutual,0,15,0.8506255020176456,300.0,0.34259194135665894,0.1677245795726776,0,0.0,0.17012510040352918,5,1,mutual,28,728,1.0,4.0,2.0,-0.3359171558275124,0.1296811944227665,0.043195202346891115,-0.2266750423293854,1.240341303404886,0.0,0.17012510040352918,0.17012510040352918
hrl,multi,1,mutual,0,16,0.9147113216733476,300.0,0.3607769310474396,0.23759067058563232,0,0.0,0.18294226433466954,5,1,mutual,31,806,1.0,4.0,2.0,-0.4519093293487172,0.15775517974793907,0.07391627838835113,0.004434503518044898,1.1305146893677298,0.0,0.18294226433466954,0.18294226433466954
hrl,multi,1,mutual,0,17,1.3960206213501793,300.0,0.5087257623672485,0.22883352637290955,0,0.0,0.27920412427003594,5,1,mutual,31,806,1.0,4.0,2.0,-0.14905864551779832,0.17061787238437676,0.01348891884461037,0.3199601400872633,1.0410123355517276,0.0,0.27920412427003594,0.27920412427003594
hrl,multi,1,mutual,0,18,1.8258260980219334,300.0,0.5688735246658325,0.2348031848669052,0,0.0,0.36516521960438675,5,1,mutual,30,780,1.0,4.0,2.0,-0.12544787158677365,0.5182258310206233,0.34699075610097485,-0.014855610196013044,1.1009129926831225,0.0,0.36516521960438675,0.36516521960438675
hrl,multi,1,mutual,0,19,1.7373782811489478,300.0,0.5722097754478455,0.19083476066589355,0,0.0,0.34747565622978965,5,1,mutual,30,780,1.0,4.0,2.0,0.07679337807279076,0.29714539518550714,0.44675763989874184,0.35486290624784295,0.5618189617440655,0.0,0.34747565622978965,0.34747565622978965
hrl,multi,1,mutual,0,20,1.3242034391204003,300.0,0.5404707193374634,0.1374974399805069,0,0.0,0.26484068782408016,5,1,mutual,29,754,1.0,4.0,2.0,0.575431057231035,-0.16462360473454474,-0.17468302398604857,0.31918921041903364,0.7688898001909253,0.0,0.26484068782408016,0.26484068782408016
hrl,multi,1,mutual,0,21,1.264855565268225,300.0,0.4501877427101135,0.17619332671165466,0,0.0,0.25297111305364506,5,1,mutual,32,832,1.0,4.0,2.0,0.08170758566979197,0.017044478528783585,-0.1623655691004825,0.14715522955782906,1.1813138406123032,0.0,0.25297111305364506,0.25297111305364506
hrl,multi,1,mutual,0,22,0.7904755471183296,300.0,0.37747305631637573,0.12268248200416565,0,0.0,0.15809510942366595,5,1,mutual,30,780,1.0,4.0,2.0,-0.2641773441606205,-0.062307469826191716,-0.07992834524624065,-0.013700259137898692,1.2105889654892814,0.0,0.15809510942366595,0.15809510942366595
hrl,multi,1,mutual,0,23,0.9768832954784545,300.0,0.4326867163181305,0.273269921541214,0,0.0,0.19537665909569096,5,1,mutual,29,754,1.0,4.0,2.0,0.014993222302058597,-0.013768045537639571,-0.1981341895712542,0.04474517001343692,1.129047138271853,0.0,0.19537665909569096,0.19537665909569096
hrl,multi,1,mutual,0,24,1.3213889014228686,300.0,0.5385382175445557,0.1891636848449707,0,0.0,0.26427778028457377,5,1,mutual,30,780,1.0,4.0,2.0,0.0023585819858125273,0.3164454795621567,-0.24498959041317014,0.07292731685294696,1.1746471134351228,0.0,0.26427778028457377,0.26427778028457377
hrl,multi,1,mutual,0,25,1.3140370990894086,300.0,0.45223188400268555,0.18536128103733063,0,0.0,0.26280741981788175,5,1,mutual,31,806,1.0,4.0,2.0,-0.31236736742791826,0.3642933483559753,0.036565914977341865,0.05906419231370075,1.1664810108703092,0.0,0.26280741981788175,0.26280741981788175
hrl,multi,1,mutual,0,26,1.7250185190496254,300.0,0.5160970687866211,0.1939719021320343,0,0.0,0.3450037038099252,5,1,mutual,29,754,1.0,4.0,2.0,-0.13789258326834544,0.301417428695131,0.059970082201994845,0.3033093912582842,1.1982142001625613,0.0,0.3450037038099252,0.3450037038099252
hrl,multi,1,mutual,0,27,1.2848916274757345,300.0,0.48041486740112305,0.11708172410726547,0,0.0,0.256978325495147,5,1,mutual,30,780,1.0,4.0,2.0,-0.179598527475726,-0.18979211281705669,0.45149049259372964,0.0367833127789199,1.166008462395868,0.0,0.256978325495147,0.256978325495147
