arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,hl_tutee_rate,topic_entropy_ep,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,0,weighted_cka,1,1,0.9800071003928577,300.0999999999999,0.4616909623146057,0.007352753542363644,0,0.0,0.1633345167321429,0.10033444816053512,0.7460679961647954,5,0,off,0,0,0.0,0.0,0.0,-0.7761530840998717,0.08635970640182489,0.08038227392546826,0.8409757815739138,0.04864324065670367,0.6997991819348184,0.1633345167321429,0.19600142007857146
hrl,multi,0,weighted_cka,1,2,0.6833990752227104,300.25,0.3451882004737854,0.043085552752017975,0,0.0,0.11389984587045172,0.006666666666666667,0.5411165833772034,5,0,off,0,0,0.0,0.0,0.0,-0.9202651579386586,0.07045135756209486,0.19584086469374595,1.2607208553499074,0.0938268874250352,-0.01717573186941445,0.11389984587045172,0.13667981504454207
hrl,multi,0,weighted_cka,1,3,1.0459657406071776,300.75,0.46774736046791077,0.0380980558693409,0,0.0,0.1743276234345296,0.08666666666666667,0.7382761445552349,5,0,off,0,0,0.0,0.0,0.0,-0.8090327640522158,0.02642405959591266,0.12811455800943072,1.229771824157098,0.16036202840786418,0.31032603448908774,0.1743276234345296,0.20919314812143552
hrl,multi,0,weighted_cka,1,4,2.879685212607023,284.85000000000014,0.708994448184967,0.7009308338165283,1,0.0,0.4799475354345038,0.1056338028169014,0.8893074278970343,5,0,off,0,0,0.0,0.0,0.0,0.2690284738357075,0.40946239259122363,0.13247729496983807,1.224376479473896,0.08175751213449978,0.7625830596018581,0.4799475354345038,0.5759370425214045
hrl,multi,0,weighted_cka,1,5,2.99315591388257,249.64999999999998,0.7057231664657593,0.7001564502716064,1,0.0,0.4988593189804283,0.08835341365461848,0.9697139107252367,5,0,off,0,0,0.0,0.0,0.0,0.39635509858309137,0.4796556544068734,0.17726553317345672,1.028833280242048,0.5952271320093422,0.31581921546775843,0.4988593189804283,0.598631182776514
hrl,multi,0,weighted_cka,1,6,2.9372732055741,257.6,0.7061413526535034,0.7011398673057556,1,0.0,0.4895455342623501,0.08171206225680934,0.9692348299703946,5,0,off,0,0,0.0,0.0,0.0,0.3224494795841745,0.013827709311619269,0.1046489986176602,1.1412282360726964,0.6123865720368921,0.742732209951058,0.4895455342623501,0.5874546411148202
hrl,multi,0,weighted_cka,1,7,3.056884363670017,232.94999999999996,0.709247350692749,0.7045161128044128,1,0.0,0.5094807272783362,0.06465517241379311,0.9932143407298862,5,0,off,0,0,0.0,0.0,0.0,0.12088998971367237,0.4133576810220255,-0.03566150272404779,1.189265560423955,0.21351475403022402,1.155517881204188,0.5094807272783362,0.6113768727340034
hrl,multi,0,weighted_cka,1,8,3.141037010967661,209.95,0.707203209400177,0.7001808285713196,1,0.0,0.5235061684946102,0.11004784688995216,0.9853730202942843,5,0,off,0,0,0.0,0.0,0.0,0.3845101276040077,0.424169358724961,0.22700596237555137,1.2214507747311143,0.5513375424583208,0.3325632450737059,0.5235061684946102,0.6282074021935322
hrl,multi,0,weighted_cka,1,9,2.927994323640406,262.0,0.7071245312690735,0.7024170756340027,1,0.0,0.48799905394006765,0.04980842911877394,0.9955913463182727,5,0,off,0,0,0.0,0.0,0.0,0.14036646991550494,1.00495946816029,-0.09871699278146856,0.6782066319037693,-0.003294274190440906,1.2064730206327512,0.48799905394006765,0.5855988647280812
hrl,multi,0,weighted_cka,1,10,1.0087187273346987,300.15,0.42816781997680664,0.023943983018398285,0,0.0,0.1681197878891165,0.013333333333333334,0.6942743111703441,5,0,off,0,0,0.0,0.0,0.0,-0.9184518804913678,0.4134705264219082,0.09358314836584025,1.2787995135646777,0.16485999294277276,-0.023542573469132185,0.1681197878891165,0.2017437454669398
hrl,multi,0,weighted_cka,1,11,2.8234413985503255,299.85,0.7033430337905884,0.7009872794151306,1,0.0,0.4705735664250543,0.07692307692307693,0.8358984504118165,5,0,off,0,0,0.0,0.0,0.0,0.18084124538920648,0.5337612427906132,0.13366725472919638,0.8058014226555823,0.4321025295248254,0.737267703460902,0.4705735664250543,0.5646882797100652
hrl,multi,0,weighted_cka,1,12,3.0776938171168546,227.54999999999998,0.7074985504150391,0.7015058398246765,1,0.0,0.5129489695194759,0.08370044052863436,0.966552840336563,5,0,off,0,0,0.0,0.0,0.0,0.004535151777788765,0.3534455887109506,0.5640148783717304,1.250947602371685,0.523367986710742,0.38138260917395816,0.5129489695194759,0.615538763423371
hrl,multi,0,weighted_cka,1,13,0.8680900958599511,300.0,0.3966286778450012,0.17454035580158234,0,0.0,0.14468168264332523,0.02,0.6072964149679116,5,0,off,0,0,0.0,0.0,0.0,0.6025096666652243,0.40307004228699944,0.16305786839406933,-0.30671040693926693,0.05309906470868732,-0.04693613925576211,0.14468168264332523,0.17361801917199027
hrl,multi,0,weighted_cka,1,14,2.0722091630357484,300.20000000000005,0.6744856834411621,0.5995473861694336,0,0.0,0.3453681938392914,0.0903010033444816,0.9002481962713925,5,0,off,0,0,0.0,0.0,0.0,0.24258326213131642,0.0008989363728031594,0.16976858580578114,0.5521283787408606,-0.006098576016724231,1.1129285760017114,0.3453681938392914,0.4144418326071497
hrl,multi,0,weighted_cka,1,15,2.9066056983365494,268.1,0.7074716091156006,0.7007178664207458,1,0.0,0.48443428305609154,0.12359550561797752,0.9779150532182603,5,0,off,0,0,0.0,0.0,0.0,-0.08243991726939583,0.46254815255655546,0.11027030906081192,0.7102025550390825,0.5591879760925657,1.1468366228569298,0.48443428305609154,0.5813211396673099
hrl,multi,0,weighted_cka,1,16,2.3814023644970255,301.05000000000007,0.7020694017410278,0.6780730485916138,0,0.0,0.39690039408283767,0.09333333333333334,0.9756673638447768,5,0,off,0,0,0.0,0.0,0.0,0.2983850589345674,0.3890604695589281,0.02962351701036073,0.8626537337470799,0.030514384910464105,0.7711652003356255,0.39690039408283767,0.47628047289940517
hrl,multi,0,weighted_cka,1,17,2.1243583020230212,300.55000000000007,0.602096676826477,0.1848442405462265,0,0.0,0.3540597170038369,0.04,0.9568502186271084,5,0,off,0,0,0.0,0.0,0.0,0.007617237453232468,0.44942696428159234,0.46398313909070554,1.2025353579856453,-0.35915551622522285,0.3599511194370687,0.3540597170038369,0.42487166040460433
hrl,multi,0,weighted_cka,1,18,2.3759394921877415,300.70000000000005,0.673392653465271,0.5204172134399414,0,0.0,0.3959899153646236,0.16387959866220736,0.8978172707043632,5,0,off,0,0,0.0,0.0,0.0,0.1314200174103024,-0.184360420904821,0.10911779320798809,0.4105964698530733,0.45044147683866287,1.458724155782536,0.3959899153646236,0.4751878984375483
hrl,multi,0,weighted_cka,1,19,1.8598931354406747,301.0999999999999,0.5783103108406067,0.3660825490951538,0,0.0,0.30998218924011245,0.07,0.9085285658424398,5,0,off,0,0,0.0,0.0,0.0,-0.027037669369950935,-0.027750519969500825,0.5125157712297513,1.0061509297778826,0.06064927217829963,0.3353653515941929,0.30998218924011245,0.37197862708813495
hrl,multi,0,weighted_cka,1,20,2.3394033296796133,300.69999999999993,0.6597793698310852,0.4645652770996094,0,0.0,0.3899005549466022,0.043333333333333335,0.9601558189986692,5,0,off,0,0,0.0,0.0,0.0,0.16050195942586276,0.28798613999632633,0.3859908232823363,0.701905821993714,0.04773667189199449,0.7552819130893795,0.3899005549466022,0.46788066593592265
hrl,multi,0,weighted_cka,1,21,2.408672486847193,300.2500000000001,0.713011622428894,0.6857354044914246,0,0.0,0.40144541447453214,0.13043478260869565,0.9581163097765664,5,0,off,0,0,0.0,0.0,0.0,0.19138423626706924,0.06381660098521369,0.037252287590876065,0.8338019915893673,-0.24911337301529451,1.5315307434299612,0.40144541447453214,0.4817344973694386
hrl,multi,0,weighted_cka,1,22,2.3693739846136177,300.70000000000005,0.700146496295929,0.6803518533706665,0,0.0,0.3948956641022697,0.056666666666666664,0.9751761598332072,5,0,off,0,0,0.0,0.0,0.0,0.12078897401131661,0.3764313461971469,-0.11448016900941746,1.0945124580658736,0.49183316362136964,0.4002882117273286,0.3948956641022697,0.4738747969227236
hrl,multi,0,weighted_cka,1,23,2.3730532006344163,300.04999999999995,0.6893996596336365,0.6253475546836853,0,0.0,0.3955088667724027,0.0903010033444816,0.9740758515288532,5,0,off,0,0,0.0,0.0,0.0,0.010494060162716628,0.04346607445297357,-0.1301194901391866,0.6514332872987724,1.0658708233358336,0.7319084455233066,0.3955088667724027,0.47461064012688325
