arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
flat,single,0,off,0,1,-8.388575277593924,300.0,0.38890519738197327,0.1251140981912613,0,-8.388575277593924,-8.388575277593924,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.388575277593924,-8.388575277593924
flat,single,0,off,0,2,-6.847450617619337,300.0,0.675907552242279,0.4258534610271454,0,-6.847450617619337,-6.847450617619337,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.847450617619337,-6.847450617619337
flat,single,0,off,0,3,-4.579997909397339,287.0,0.8081710934638977,0.7464231848716736,1,-4.579997909397339,-4.579997909397339,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.579997909397339,-4.579997909397339
flat,single,0,off,0,4,-6.338310197053946,300.0,0.7213106155395508,0.5975980758666992,0,-6.338310197053946,-6.338310197053946,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.338310197053946,-6.338310197053946
flat,single,0,off,0,5,-8.641110082855457,300.0,0.3386315703392029,0.1364029198884964,0,-8.641110082855457,-8.641110082855457,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.641110082855457,-8.641110082855457
flat,single,0,off,0,6,-6.697849739098479,300.0,0.6746950149536133,0.3254794776439667,0,-6.697849739098479,-6.697849739098479,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.697849739098479,-6.697849739098479
flat,single,0,off,0,7,-6.061013794108295,300.0,0.7595272064208984,0.4487151503562927,0,-6.061013794108295,-6.061013794108295,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.061013794108295,-6.061013794108295
flat,single,0,off,0,8,-5.859355840884372,300.0,0.7448211312294006,0.5761424899101257,0,-5.859355840884372,-5.859355840884372,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.859355840884372,-5.859355840884372
flat,single,0,off,0,9,-7.95001672352667,300.0,0.5014588832855225,0.27383774518966675,0,-7.95001672352667,-7.95001672352667,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.95001672352667,-7.95001672352667
flat,single,0,off,0,10,-5.369692741881584,300.0,0.7974207997322083,0.7233117818832397,0,-5.369692741881584,-5.369692741881584,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.369692741881584,-5.369692741881584
flat,single,0,off,0,11,-7.366284008987734,300.0,0.544616162776947,0.14623846113681793,0,-7.366284008987734,-7.366284008987734,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.366284008987734,-7.366284008987734
flat,single,0,off,0,12,-6.479614156275072,300.0,0.6703523993492126,0.4052630662918091,0,-6.479614156275072,-6.479614156275072,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.479614156275072,-6.479614156275072
flat,single,0,off,0,13,-6.270966435462475,300.0,0.7456279397010803,0.5701317191123962,0,-6.270966435462475,-6.270966435462475,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.270966435462475,-6.270966435462475
flat,single,0,off,0,14,-6.699762191344072,300.0,0.7326884865760803,0.5868358016014099,0,-6.699762191344072,-6.699762191344072,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.699762191344072,-6.699762191344072
flat,single,0,off,0,15,-5.947989420650993,300.0,0.7424445748329163,0.5390661954879761,0,-5.947989420650993,-5.947989420650993,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.947989420650993,-5.947989420650993
flat,single,0,off,0,16,-5.959368885552998,300.0,0.7242809534072876,0.502476692199707,0,-5.959368885552998,-5.959368885552998,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.959368885552998,-5.959368885552998
flat,single,0,off,0,17,-5.930278379609827,300.0,0.7549099922180176,0.5858944654464722,0,-5.930278379609827,-5.930278379609827,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.930278379609827,-5.930278379609827
flat,single,0,off,0,18,-6.060009921982427,300.0,0.7002013325691223,0.43419504165649414,0,-6.060009921982427,-6.060009921982427,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.060009921982427,-6.060009921982427
