arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
flat,single,0,off,0,1,-8.408209554466897,300.0,0.34322527050971985,0.15248960256576538,0,-8.408209554466897,-8.408209554466897,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.408209554466897,-8.408209554466897
flat,single,0,off,0,2,-8.71211012781133,300.0,0.3780980706214905,0.14825089275836945,0,-8.71211012781133,-8.71211012781133,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.71211012781133,-8.71211012781133
flat,single,0,off,0,3,-7.084905241569525,300.0,0.6765511631965637,0.5669963955879211,0,-7.084905241569525,-7.084905241569525,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.084905241569525,-7.084905241569525
flat,single,0,off,0,4,-6.891872285085276,300.0,0.5866097807884216,0.3734874427318573,0,-6.891872285085276,-6.891872285085276,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.891872285085276,-6.891872285085276
flat,single,0,off,0,5,-8.279404268023807,300.0,0.38375067710876465,0.117404043674469,0,-8.279404268023807,-8.279404268023807,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.279404268023807,-8.279404268023807
flat,single,0,off,0,6,-6.861393079604043,300.0,0.6583535075187683,0.5506433248519897,0,-6.861393079604043,-6.861393079604043,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.861393079604043,-6.861393079604043
flat,single,0,off,0,7,-6.295339829241857,300.0,0.7415931820869446,0.5252766609191895,0,-6.295339829241857,-6.295339829241857,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.295339829241857,-6.295339829241857
flat,single,0,off,0,8,-6.18770913067857,300.0,0.6962417960166931,0.3161110281944275,0,-6.18770913067857,-6.18770913067857,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.18770913067857,-6.18770913067857
flat,single,0,off,0,9,-7.494393847382185,300.0,0.5830222964286804,0.2802871763706207,0,-7.494393847382185,-7.494393847382185,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.494393847382185,-7.494393847382185
flat,single,0,off,0,10,-6.468888744339362,300.0,0.6919770836830139,0.45037350058555603,0,-6.468888744339362,-6.468888744339362,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.468888744339362,-6.468888744339362
flat,single,0,off,0,11,-5.484861201088636,300.0,0.7987588047981262,0.7363845705986023,0,-5.484861201088636,-5.484861201088636,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.484861201088636,-5.484861201088636
