arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,1,weighted_cka,0,1,-9.473127552657367,400.0,0.412749320268631,0.17138507962226868,0,0.0,-0.796735993663135,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.8226807591216896,0.6129412379317141,0.33553451190086625,-0.13336077836010615,-0.31082665545744914,-0.4069235997475048,-6.497197431031155,0.0,-0.796735993663135,-0.796735993663135
hrl,multi,1,weighted_cka,0,2,-9.303184682954631,400.0,0.5009982585906982,0.11458367854356766,0,0.0,-0.9010337962082569,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.8275033705055602,-3.9314926228636287,0.2746063957303425,-0.43360825491344,-0.23942230995319386,-0.9042821325650885,-1.9005410193983505,0.0,-0.9010337962082569,-0.9010337962082569
hrl,multi,1,weighted_cka,0,3,-8.881457991322527,400.0,0.4944479465484619,0.17302514612674713,0,0.0,-0.7373627892363385,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.7885343700487507,-0.013511927228487357,0.2755345119008662,-0.1686037729519321,-0.38403238285009855,-3.1673003901692716,-2.492159933404197,0.0,-0.7373627892363385,-0.7373627892363385
hrl,multi,1,weighted_cka,0,4,-8.868858737254046,400.0,0.38581737875938416,0.13747020065784454,0,0.0,-0.7392319779840132,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.7246495789887527,1.0150316005965634,0.18900059952668366,-0.7277405433173709,-4.136300785303909,-2.2952642086048978,0.05599991222608652,0.0,-0.7392319779840132,-0.7392319779840132
hrl,multi,1,weighted_cka,0,5,-9.189319213757555,400.0,0.4124710261821747,0.13517716526985168,0,0.0,-0.818728449340594,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.7061691326933831,-2.116556008542736,0.45634800562364786,-4.471907305816427,-0.4563541245080127,-0.1254241122782866,0.27662526744427496,0.0,-0.818728449340594,-0.818728449340594
hrl,multi,1,weighted_cka,0,6,-8.716764538280874,400.0,0.610232949256897,0.16610942780971527,0,0.0,-0.5714494263042723,7,1,weighted_cka,0,0,0.0,0.0,0.0,-0.8013860448086627,-1.7816641335600134,0.4542442885404989,0.07155003784371265,-0.3603034089772097,-0.30142731750637436,-1.281159405661858,0.0,-0.5714494263042723,-0.5714494263042723
hrl,multi,1,weighted_cka,0,7,-8.818476970294073,400.0,0.6381665468215942,0.3248932361602783,0,0.0,-0.41360017007623723,7,1,weighted_cka,0,0,0.0,0.0,0.0,-1.398356916635324,0.8321715503931683,0.16491274317364796,0.3901777515445929,-3.55283626864734,0.062203368782543206,0.6065265808550508,0.0,-0.41360017007623723,-0.41360017007623723
hrl,multi,1,weighted_cka,0,8,-7.876299681503438,400.0,0.7546592354774475,0.4800100028514862,0,0.0,-0.11975251469382366,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.6895644430383863,1.1793689368204532,-3.1898186821646135,-1.2567818091394192,0.6361211027347219,0.5662950012392246,0.5369834046144816,0.0,-0.11975251469382366,-0.11975251469382366
hrl,multi,1,weighted_cka,0,9,-8.32961387258257,400.0,0.7039334177970886,0.4376969337463379,0,0.0,-0.2619866214015033,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.6628538166027126,0.8222161498929749,0.4501140213739515,-0.2051544070106955,-0.05649046178371242,0.7167197776937052,-4.224165246579459,0.0,-0.2619866214015033,-0.2619866214015033
hrl,multi,1,weighted_cka,0,10,-8.275007770355904,400.0,0.7157572507858276,0.5073357820510864,0,0.0,-0.23211686026047587,7,1,weighted_cka,0,0,0.0,0.0,0.0,0.7885343700487507,0.8140554744601144,0.5589532024486434,0.8227905319290062,-0.36313648899634743,-4.743857763535172,0.49784265182167386,0.0,-0.23211686026047587,-0.23211686026047587
