arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,0,weighted_cka,1,1,-0.011303857060921595,300.0,0.10484281927347183,0.06382421404123306,0,0.0,-0.0018839761768202439,5,0,off,0,0,0.0,0.0,0.0,-0.19438439699153318,-0.11163365691341462,0.11504394061118361,0.1283081453852355,0.05136211084760722,0.0,-0.0018839761768202439,-0.0022607714121842927
hrl,multi,0,weighted_cka,1,2,0.7314450628298932,300.15,0.2426396906375885,0.0861598551273346,0,0.0,0.12190751047164887,5,0,off,0,0,0.0,0.0,0.0,0.9370562748674415,0.06737178504094476,0.005380069365724917,-0.04167699454724791,-0.19371288536828712,-0.042973186528682705,0.12190751047164887,0.14628901256597865
hrl,multi,0,weighted_cka,1,3,-0.17493744094390523,300.0,0.08210711926221848,0.005322693381458521,0,0.0,-0.02915624015731752,5,0,off,0,0,0.0,0.0,0.0,-0.42225489279371764,0.029046213818713976,0.0957279353663325,-0.04203669869690203,0.16458000136166806,0.0,-0.02915624015731752,-0.03498748818878102
hrl,multi,0,weighted_cka,1,4,0.3111112251724979,300.0,0.14577147364616394,0.06927348673343658,0,0.0,0.05185187086208302,5,0,off,0,0,0.0,0.0,0.0,-0.18460973171182615,0.482988681724295,0.0011052090656012252,0.06436968439817427,-0.052742618303746214,0.0,0.05185187086208302,0.06222224503449962
hrl,multi,0,weighted_cka,1,5,0.22691922501318523,300.79999999999995,0.22714444994926453,0.06927480548620224,0,0.0,0.03781987083553088,5,0,off,0,0,0.0,0.0,0.0,0.5329450801545752,-0.37071711693331627,0.13364692503586406,-0.023197899958118808,-0.0384623820929559,-0.0072953811928629896,0.03781987083553088,0.04538384500263705
hrl,multi,0,weighted_cka,1,6,0.031552561126590106,300.0,0.17191973328590393,0.040735308080911636,0,0.0,0.005258760187765045,5,0,off,0,0,0.0,0.0,0.0,0.5399942320648115,-0.1904410401675851,-0.3046065708301033,-0.33917826451297184,0.32578420457243906,0.0,0.005258760187765045,0.006310512225318055
hrl,multi,0,weighted_cka,1,7,0.725298383986716,300.6,0.32004809379577637,0.056700970977544785,0,0.0,0.12088306399778605,5,0,off,0,0,0.0,0.0,0.0,0.5623416265421546,0.013815045989118434,-0.1259592290357689,-0.2577750810880682,0.16666697964631005,0.3662090419329703,0.12088306399778605,0.14505967679734327
hrl,multi,0,weighted_cka,1,8,1.0334879211603654,300.3,0.4662715494632721,0.20560786128044128,0,0.0,0.17224798686006093,5,0,off,0,0,0.0,0.0,0.0,0.6332420798193197,0.027671397963247586,0.16208249009907005,-0.26230768401490095,0.45687234840821456,0.0159272888854146,0.17224798686006093,0.20669758423207313
hrl,multi,0,weighted_cka,1,9,1.7476516672772946,300.0,0.5148342251777649,0.12516212463378906,0,0.0,0.29127527787954915,5,0,off,0,0,0.0,0.0,0.0,0.2626852573017491,0.4628635206953621,0.3930825744526227,0.11243101437389846,0.5245830196142195,-0.007993719160556793,0.29127527787954915,0.34953033345545903
hrl,multi,0,weighted_cka,1,10,2.205349991650877,300.05000000000007,0.6047994494438171,0.19686466455459595,0,0.0,0.3675583319418128,5,0,off,0,0,0.0,0.0,0.0,0.32269198379362907,0.3592735273484357,0.10215037294849738,0.3552096967959077,0.7301048610950819,0.33591954966932536,0.3675583319418128,0.4410699983301754
hrl,multi,0,weighted_cka,1,11,1.706427326299492,300.45000000000005,0.5437747240066528,0.13224802911281586,0,0.0,0.28440455438324874,5,0,off,0,0,0.0,0.0,0.0,0.22483185139846285,0.36406564830428384,0.1397319808378814,0.3676000208338663,0.22572334241401393,0.384474482510984,0.28440455438324874,0.3412854652598985
hrl,multi,0,weighted_cka,1,12,2.014324984153217,300.75000000000006,0.5789514183998108,0.06024480238556862,0,0.0,0.3357208306922028,5,0,off,0,0,0.0,0.0,0.0,0.14944211413441488,0.36954062010330374,0.3993695041796889,0.0777281276999564,0.2740757992127909,0.744168818823062,0.3357208306922028,0.40286499683064336
hrl,multi,0,weighted_cka,1,13,1.4236673088618121,300.20000000000005,0.5090331435203552,0.2943524420261383,0,0.0,0.237277884810302,5,0,off,0,0,0.0,0.0,0.0,-0.2504908657651489,0.06114163951389484,0.44728148465292883,0.09301608346961433,1.1550746205924076,-0.08235565360188485,0.237277884810302,0.28473346177236236
hrl,multi,0,weighted_cka,1,14,2.183996674996567,300.50000000000006,0.6088539958000183,0.2081112414598465,0,0.0,0.36399944583276117,5,0,off,0,0,0.0,0.0,0.0,0.23676504736952442,0.4261200939302797,0.5767820961163378,0.4897324252205434,0.08941678445693091,0.36518022790295074,0.36399944583276117,0.43679933499931345
hrl,multi,0,weighted_cka,1,15,0.9999191362545787,300.05,0.47317004203796387,0.24271820485591888,0,0.0,0.16665318937576312,5,0,off,0,0,0.0,0.0,0.0,0.5768805081562602,-0.03118532695435001,-0.01841513005981715,0.026651513723350735,0.09835672318888822,0.34763084820024676,0.16665318937576312,0.19998382725091574
hrl,multi,0,weighted_cka,1,16,1.427702902323333,300.5,0.4876115322113037,0.2572358548641205,0,0.0,0.2379504837205555,5,0,off,0,0,0.0,0.0,0.0,0.5757278112443163,-0.026813866041368022,0.1994044304974376,0.24993638782249736,0.09208747832942743,0.3373606604710222,0.2379504837205555,0.28554058046466657
hrl,multi,0,weighted_cka,1,17,1.0097596289283803,300.15,0.4456377923488617,0.29996389150619507,0,0.0,0.1682932714880634,5,0,off,0,0,0.0,0.0,0.0,0.14863529615921234,0.42896164847863816,0.13491586309112602,0.07335121520911336,0.24658411606028663,-0.02268851006999612,0.1682932714880634,0.20195192578567606
hrl,multi,0,weighted_cka,1,18,1.0329041908182253,300.0,0.5533791184425354,0.24650290608406067,0,0.0,0.1721506984697042,5,0,off,0,0,0.0,0.0,0.0,-0.16637262104800937,-0.06877584541309636,0.17824899482075107,0.6464633540697395,0.10139563955288011,0.34194466883596036,0.1721506984697042,0.20658083816364506
hrl,multi,0,weighted_cka,1,19,0.9139797062082979,300.8,0.46045732498168945,0.2338140308856964,0,0.0,0.15232995103471628,5,0,off,0,0,0.0,0.0,0.0,0.3434234790703119,0.06353902043774706,-0.015833566497545942,0.07550826098397367,0.10474732775241113,0.3425951844613999,0.15232995103471628,0.18279594124165954
