PYTHON EXE: D:\Uni shit\Thesis\Code_New\.venv\Scripts\python.exe
torch: 2.9.1+cu126
torch cuda build: 12.6
cuda available: True
=== Training hierarchical RL tutor ===
- Number of topics: 8
- Tutee enabled:   True
         1211811 function calls (1195335 primitive calls) in 2.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10127    0.004    0.000    0.007    0.000 typing.py:935(_is_dunder)
      957    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     3448    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      911    0.004    0.000    0.344    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      126    0.004    0.000    0.561    0.004 __init__.py:267(_make_prim)
    989/8    0.004    0.000    2.889    0.361 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      113    0.004    0.000    0.072    0.001 autograd.py:23(make_autograd_impl)
       90    0.004    0.000    0.009    0.000 __init__.py:328(namedtuple)
     7138    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     1965    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
      745    0.004    0.000    0.008    0.000 dataclasses.py:722(_get_field)
      936    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      949    0.004    0.000    0.332    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3088    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
   760/84    0.003    0.000    0.008    0.000 sre_compile.py:87(_compile)
      736    0.003    0.000    0.042    0.000 typing.py:483(Union)
     3268    0.003    0.000    0.008    0.000 ntpath.py:51(normcase)
      239    0.003    0.000    0.003    0.000 {built-in method torch.parse_schema}
      816    0.003    0.000    0.082    0.000 _pytree.py:1379(tree_map_)
    25/22    0.003    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
     4705    0.003    0.000    0.005    0.000 typing.py:1902(get_origin)
      462    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
    21363    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     1822    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3268    0.003    0.000    0.003    0.000 {built-in method _winapi.LCMapStringEx}
     1239    0.003    0.000    0.004    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       41    0.003    0.000    0.003    0.000 {built-in method io.open}
      978    0.003    0.000    0.041    0.000 _ops.py:1146(__init__)
     3581    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     3751    0.003    0.000    0.305    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    911/8    0.003    0.000    2.882    0.360 <frozen importlib._bootstrap_external>:877(exec_module)
     1197    0.003    0.000    0.112    0.000 inspect.py:838(getabsfile)
      113    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
     6799    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      899    0.003    0.000    0.006    0.000 enum.py:89(__setitem__)
        1    0.002    0.002    0.926    0.926 _meta_registrations.py:1(<module>)
     8491    0.002    0.000    0.004    0.000 _ops.py:850(__hash__)
    13872    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      911    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     3217    0.002    0.000    0.006    0.000 enum.py:359(__call__)
     1071    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      911    0.002    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     2733    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1199    0.002    0.000    0.002    0.000 {built-in method nt._getfullpathname}
     1205    0.002    0.000    0.004    0.000 inspect.py:612(unwrap)
      975    0.002    0.000    0.005    0.000 ntpath.py:87(isabs)
     6261    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      135    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      139    0.002    0.000    0.002    0.000 function.py:337(__init__)
       77    0.002    0.000    0.003    0.000 __init__.py:1403(_clear_cache)
     1754    0.002    0.000    0.008    0.000 _ops.py:122(py_impl)
     2215    0.002    0.000    0.005    0.000 {built-in method builtins.max}
      251    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
     3283    0.002    0.000    0.027    0.000 _ops.py:1160(<genexpr>)
  957/864    0.002    0.000    0.209    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     4704    0.002    0.000    0.003    0.000 typing_extensions.py:177(_should_collect_from_parameters)
     5466    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1140    0.002    0.000    0.031    0.000 _ops.py:1387(_get_packet)
      130    0.002    0.000    0.035    0.000 traceback.py:338(extract)
      736    0.002    0.000    0.006    0.000 typing.py:267(_remove_dups_flatten)
    11364    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
