PYTHON EXE: D:\Uni shit\Thesis\Code_New\.venv\Scripts\python.exe
torch: 2.9.1+cu126
torch cuda build: 12.6
cuda available: True
=== Training hierarchical RL tutor ===
- Number of topics: 8
- Tutee enabled:   True
         1211811 function calls (1195335 primitive calls) in 2.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reductions.py:628(init_reductions)
        1    0.000    0.000    0.002    0.002 storage.py:1(<module>)
        1    0.000    0.000    0.001    0.001 clip_grad.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:1(<module>)
       17    0.000    0.000    0.000    0.000 pathlib.py:615(_make_child)
        1    0.000    0.000    0.000    0.000 optimizer.py:339(Optimizer)
        2    0.000    0.000    0.075    0.038 batchnorm.py:1(<module>)
        1    0.000    0.000    0.007    0.007 runtime_assert.py:1(<module>)
       27    0.000    0.000    0.000    0.000 _hook_iterator.py:136(IteratorDecorator)
       10    0.000    0.000    0.000    0.000 grad_mode.py:75(__init__)
       60    0.000    0.000    0.000    0.000 typing.py:2248(<listcomp>)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:2220(TypeIs)
        1    0.000    0.000    0.001    0.001 types.py:1(<module>)
        1    0.000    0.000    0.011    0.011 std.py:1(<module>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:550(wrapper)
        1    0.000    0.000    0.015    0.015 pool.py:314(_repopulate_pool_static)
       14    0.000    0.000    0.000    0.000 dataclasses.py:1187(fields)
       10    0.000    0.000    0.000    0.000 _torch_docs.py:10(parse_kwargs)
        4    0.000    0.000    0.015    0.004 process.py:110(start)
      113    0.000    0.000    0.000    0.000 custom_ops.py:396(register_fake)
        1    0.000    0.000    0.050    0.050 graph_drawer.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _ops.py:1342(__init__)
        1    0.000    0.000    0.001    0.001 parametrize.py:1(<module>)
        4    0.000    0.000    0.000    0.000 spawn.py:78(get_command_line)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
        1    0.000    0.000    0.024    0.024 split_utils.py:1(<module>)
        1    0.000    0.000    0.018    0.018 tools_common.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _ops.py:1435(__getattr__)
       60    0.000    0.000    0.000    0.000 _collections_abc.py:909(__iter__)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        5    0.000    0.000    0.004    0.001 threading.py:288(wait)
       37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       72    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
        1    0.000    0.000    0.009    0.009 platform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graphs.py:1(<module>)
       65    0.000    0.000    0.000    0.000 __init__.py:420(_make)
        9    0.000    0.000    0.000    0.000 typing_extensions.py:794(__init_subclass__)
        3    0.000    0.000    0.000    0.000 grad_scaler.py:1(<module>)
      136    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.003    0.003 worker.py:1(<module>)
      113    0.000    0.000    0.000    0.000 typing.py:1342(<genexpr>)
       36    0.000    0.000    0.000    0.000 typing_extensions.py:1646(_set_default)
        1    0.000    0.000    0.001    0.001 vmap.py:1(<module>)
       99    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
        2    0.000    0.000    0.051    0.025 __config__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 shape_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fake_profile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:1(<module>)
        2    0.000    0.000    0.002    0.001 autograd.py:1(<module>)
        1    0.000    0.000    0.001    0.001 functional_tensor.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        9    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        2    0.000    0.000    0.002    0.001 decoder.py:1(<module>)
      164    0.000    0.000    0.000    0.000 typing.py:1074(<genexpr>)
        1    0.000    0.000    0.001    0.001 pooling.py:1(<module>)
      222    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.001    0.001 rng_prims.py:1(<module>)
        1    0.000    0.000    0.001    0.001 operator_support.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loss.py:1(<module>)
        1    0.000    0.000    0.000    0.000 strict_mode.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.048    0.048 shape_prop.py:1(<module>)
       25    0.000    0.000    0.000    0.000 _config_module.py:87(__init__)
       91    0.000    0.000    0.000    0.000 __init__.py:119(valid)
        1    0.000    0.000    0.000    0.000 nadam.py:1(<module>)
       28    0.000    0.000    0.000    0.000 typing.py:2328(_namedtuple_mro_entries)
        4    0.000    0.000    0.000    0.000 subprocess.py:278(_args_from_interpreter_flags)
       38    0.000    0.000    0.000    0.000 observer.py:102(_with_args)
        3    0.000    0.000    0.000    0.000 embedding_ops.py:1(<module>)
      163    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        1    0.000    0.000    0.005    0.005 subprocess.py:758(__init__)
        1    0.000    0.000    0.000    0.000 adamw.py:1(<module>)
        1    0.000    0.000    2.861    2.861 high_level_agent.py:1(<module>)
        1    0.000    0.000    0.003    0.003 rendezvous.py:1(<module>)
       17    0.000    0.000    0.003    0.000 __init__.py:629(entry_points)
        1    0.000    0.000    0.001    0.001 common_types.py:1(<module>)
        2    0.000    0.000    0.074    0.037 _functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:389(BaseEventLoop)
        3    0.000    0.000    0.000    0.000 traceback.py:386(from_list)
       58    0.000    0.000    0.000    0.000 constraint_registry.py:89(register)
       26    0.000    0.000    0.000    0.000 _mangling.py:47(is_mangled)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        7    0.000    0.000    0.000    0.000 random.py:519(<listcomp>)
        3    0.000    0.000    0.000    0.000 sparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _registrations.py:1(<module>)
       56    0.000    0.000    0.000    0.000 __init__.py:517(_make_elementwise_unary_reference)
        1    0.000    0.000    0.000    0.000 constraint_registry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _functional.py:1(<module>)
       31    0.000    0.000    0.000    0.000 __init__.py:131(<dictcomp>)
      183    0.000    0.000    0.000    0.000 dataclasses.py:839(_hash_set_none)
      118    0.000    0.000    0.000    0.000 typing.py:1055(<genexpr>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
        1    0.000    0.000    0.049    0.049 graph_settings.py:1(<module>)
       34    0.000    0.000    0.000    0.000 utils.py:152(__init__)
       10    0.000    0.000    0.000    0.000 optimizer.py:107(_disable_dynamo_if_unsupported)
       63    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       37    0.000    0.000    0.000    0.000 inspect.py:301(isgeneratorfunction)
        1    0.000    0.000    0.001    0.001 scatter_gather.py:1(<module>)
        7    0.000    0.000    0.000    0.000 getlimits.py:697(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       35    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        1    0.000    0.000    0.002    0.002 pass_manager.py:1(<module>)
      129    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 std.py:245(tqdm)
        1    0.000    0.000    0.000    0.000 functional_call.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 run_const_graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 padding.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _internal.py:609(getArtifactLogger)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 logging_tensor.py:1(<module>)
       10    0.000    0.000    0.000    0.000 weakref.py:368(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        2    0.000    0.000    0.000    0.000 normalization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.gethostname}
       40    0.000    0.000    0.002    0.000 glob.py:53(_iglob)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        1    0.000    0.000    0.002    0.002 context.py:1(<module>)
        1    0.000    0.000    0.001    0.001 device_mesh.py:395(DeviceMesh)
        1    0.000    0.000    0.000    0.000 executorch_call_delegate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lobpcg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distributed.py:326(DistributedDataParallel)
        1    0.000    0.000    0.000    0.000 adadelta.py:1(<module>)
        1    0.000    0.000    0.007    0.007 binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _char_codes.py:1(<module>)
        8    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        2    0.000    0.000    0.000    0.000 fnmatch.py:80(translate)
        1    0.000    0.000    0.001    0.001 constraints.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distribution.py:16(Distribution)
      129    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.013    0.013 dataframes.py:1(<module>)
       20    0.000    0.000    0.000    0.000 pathlib.py:589(_from_parts)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       44    0.000    0.000    0.000    0.000 _internal.py:110(register_artifact_name)
        1    0.000    0.000    0.000    0.000 mock.py:44(<setcomp>)
        1    0.000    0.000    0.000    0.000 _config_module.py:341(ConfigModule)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       36    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
        9    0.000    0.000    0.000    0.000 low_level_agents.py:49(__init__)
      129    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 storage.py:41(_StorageBase)
      129    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
       19    0.000    0.000    0.000    0.000 __init__.py:946(_name_from_stem)
       18    0.000    0.000    0.005    0.000 __init__.py:1018(<genexpr>)
       14    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       26    0.000    0.000    0.000    0.000 _sources.py:73(<listcomp>)
        1    0.000    0.000    0.015    0.015 cli.py:1(<module>)
        9    0.000    0.000    0.000    0.000 low_level_agents.py:145(__init__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1685(_array_str_implementation)
      129    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.002    0.002 replicate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 infer_schema.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       80    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
        1    0.000    0.000    0.000    0.000 package_exporter.py:172(PackageExporter)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 verifier.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
        1    0.000    0.000    0.000    0.000 _content_store.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _jit_internal.py:602(boolean_dispatch)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       36    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
        1    0.000    0.000    0.000    0.000 proactor_events.py:1(<module>)
       30    0.000    0.000    0.000    0.000 binary.py:170(_torch_inplace_binary)
       31    0.000    0.000    0.000    0.000 ntpath.py:240(basename)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 kumaraswamy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:308(TestCase)
       10    0.000    0.000    0.000    0.000 optimizer.py:61(_use_grad_for_differentiable)
        1    0.000    0.000    0.000    0.000 adamax.py:1(<module>)
       82    0.000    0.000    0.000    0.000 fake_impls.py:135(register_op_impl)
        1    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
      126    0.000    0.000    0.000    0.000 _pytree.py:766(_list_flatten)
        1    0.000    0.000    0.084    0.084 decomp_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interpreter.py:28(Interpreter)
        2    0.000    0.000    0.000    0.000 quantize_jit.py:1(<module>)
        1    0.000    0.000    0.002    0.002 semi_structured.py:1(<module>)
       43    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 main.py:37(create_agents)
        1    0.000    0.000    0.002    0.002 coroutines.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _tensor.py:35(_handle_torch_function_and_wrap_type_error_to_not_implemented)
      109    0.000    0.000    0.000    0.000 wrappers.py:263(<genexpr>)
        1    0.000    0.000    0.000    0.000 sgd.py:1(<module>)
       28    0.000    0.000    0.000    0.000 __init__.py:169(<dictcomp>)
        1    0.000    0.000    0.000    0.000 parallel_apply.py:1(<module>)
        2    0.000    0.000    0.000    0.000 fused.py:1(<module>)
        1    0.000    0.000    0.000    0.000 param_fetch.py:1(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:136(_inplace_wrapper)
       19    0.000    0.000    0.000    0.000 ntpath.py:229(splitext)
       49    0.000    0.000    0.000    0.000 contextlib.py:426(__exit__)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stateless.py:1(<module>)
       33    0.000    0.000    0.000    0.000 _internal.py:1000(_clear_handlers)
       17    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       19    0.000    0.000    0.000    0.000 functools.py:651(cache)
      111    0.000    0.000    0.000    0.000 typing.py:2018(overload)
        4    0.000    0.000    0.004    0.001 threading.py:916(start)
        1    0.000    0.000    0.002    0.002 low_level_agents.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.012    0.012 message.py:1(<module>)
       26    0.000    0.000    0.000    0.000 inspect.py:1049(__init__)
        1    0.000    0.000    0.014    0.014 compile_time_profiler.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       74    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      112    0.000    0.000    0.000    0.000 glob.py:215(_ishidden)
        1    0.000    0.000    0.000    0.000 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graph_manipulation.py:1(<module>)
        1    0.000    0.000    0.008    0.008 base_hop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 qconfig_mapping.py:1(<module>)
        1    0.000    0.000    0.003    0.003 gumbel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rmsprop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fake_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:1(<module>)
       80    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 collect_env.py:1(<module>)
        1    0.000    0.000    0.001    0.001 source_matcher_utils.py:1(<module>)
        1    0.000    0.000    0.007    0.007 tempfile.py:1(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
       42    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.001    0.001 adaptive.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _foreach_utils.py:1(<module>)
        1    0.000    0.000    0.012    0.012 platform.py:360(win32_ver)
        1    0.000    0.000    0.028    0.028 von_mises.py:1(<module>)
        1    0.000    0.000    0.000    0.000 aoti_call_delegate.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyfunctorch.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parametrizations.py:1(<module>)
        2    0.000    0.000    0.001    0.000 ansitowin32.py:81(__init__)
        1    0.000    0.000    0.000    0.000 split_module.py:1(<module>)
        1    0.000    0.000    0.004    0.004 tunable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graph_module.py:416(GraphModule)
        1    0.000    0.000    0.000    0.000 rprop.py:1(<module>)
       20    0.000    0.000    0.000    0.000 pathlib.py:957(__new__)
       17    0.000    0.000    0.002    0.000 pathlib.py:1111(open)
        2    0.000    0.000    0.001    0.001 fuse_modules.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 datapipes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ops.py:772(OpOverload)
      198    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        8    0.000    0.000    0.000    0.000 functools.py:946(__init__)
        7    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 storage.py:671(TypedStorage)
        1    0.000    0.000    0.000    0.000 backend_registration.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:73(<dictcomp>)
       16    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        2    0.000    0.000    0.003    0.001 config.py:1(<module>)
       24    0.000    0.000    0.000    0.000 qconfig.py:109(__new__)
      128    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      130    0.000    0.000    0.000    0.000 __init__.py:231(<genexpr>)
        1    0.000    0.000    0.006    0.006 unary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fake_class_registry.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ansitowin32.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _memory_viz.py:1(<module>)
        1    0.000    0.000    0.003    0.003 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 profiler_util.py:1(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:1099(_make_elementwise_binary_reference)
        5    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1085(__new__)
        8    0.000    0.000    0.001    0.000 infer_schema.py:196(derived_types)
        1    0.000    0.000    0.002    0.002 _monkeytype_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 net_min_base.py:89(_MinimizerBase)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 matcher_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graph_signature.py:163(ExportGraphSignature)
        1    0.000    0.000    0.000    0.000 nccl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 flat_apply.py:1(<module>)
       55    0.000    0.000    0.000    0.000 typing.py:1333(<genexpr>)
        9    0.000    0.000    0.000    0.000 typing_extensions.py:814(runtime_checkable)
        1    0.000    0.000    0.001    0.001 infer_schema.py:233(get_supported_param_types)
        1    0.000    0.000    0.000    0.000 wishart.py:1(<module>)
        1    0.000    0.000    0.074    0.074 nested_int.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 learner_model.py:1(<module>)
       31    0.000    0.000    0.000    0.000 tokenize.py:321(read_or_stop)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:531(__setattr__)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 routeddecoder.py:1(<module>)
       17    0.000    0.000    0.000    0.000 __init__.py:383(_from_text)
        1    0.000    0.000    0.000    0.000 spectral_norm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nested_tensor.py:53(NestedTensor)
        1    0.000    0.000    0.038    0.038 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 schema.py:1(<module>)
       43    0.000    0.000    0.000    0.000 dataclasses.py:326(__set_name__)
        1    0.000    0.000    0.002    0.002 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
       19    0.000    0.000    0.000    0.000 _functools.py:99(wrapper)
        1    0.000    0.000    0.002    0.002 reductions.py:150(<dictcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6637(refer_to_array_attribute)
       24    0.000    0.000    0.000    0.000 pickletools.py:193(__init__)
        1    0.000    0.000    0.000    0.000 frontend.py:846(ExprBuilder)
        1    0.000    0.000    0.001    0.001 _tensor_str.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fake_tensor.py:634(FakeTensor)
        3    0.000    0.000    0.001    0.000 context.py:65(Lock)
        2    0.000    0.000    0.000    0.000 zipfile.py:1218(__init__)
       87    0.000    0.000    0.000    0.000 kl.py:965(<lambda>)
        2    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _sources.py:1(<module>)
        3    0.000    0.000    0.000    0.000 linear.py:13(Linear)
        1    0.000    0.000    0.000    0.000 structured.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:784(joinpath)
        1    0.000    0.000    0.000    0.000 wishart.py:33(Wishart)
    71/59    0.000    0.000    0.000    0.000 fake_impls.py:118(<genexpr>)
      111    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        1    0.000    0.000    0.025    0.025 _lazy_graph_module.py:1(<module>)
        7    0.000    0.000    0.000    0.000 random.py:506(choices)
        1    0.000    0.000    0.000    0.000 semi_structured.py:38(SparseSemiStructuredTensor)
        1    0.000    0.000    0.000    0.000 distributed_c10d.py:455(__init__)
        1    0.000    0.000    0.010    0.010 _decorator.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _torch_docs.py:25(<dictcomp>)
        1    0.000    0.000    0.001    0.001 bernoulli.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
      107    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
       30    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        4    0.000    0.000    0.000    0.000 win32.py:114(winapi_test)
        1    0.000    0.000    0.000    0.000 win32.py:118(GetConsoleScreenBufferInfo)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
        1    0.000    0.000    0.003    0.003 staggered.py:1(<module>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
        1    0.000    0.000    0.001    0.001 transformed_distribution.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _internal.py:632(configure_artifact_log)
        1    0.000    0.000    0.000    0.000 sampler.py:1(<module>)
       32    0.000    0.000    0.002    0.000 typing.py:1239(copy_with)
       40    0.000    0.000    0.000    0.000 _jit_internal.py:673(export)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing_extensions.py:1680(__new__)
        1    0.000    0.000    0.000    0.000 importer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 von_mises.py:108(VonMises)
        1    0.000    0.000    0.000    0.000 const_fold.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       33    0.000    0.000    0.000    0.000 _internal.py:990(_track_handler)
       80    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 _creation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mock.py:1999(<setcomp>)
        1    0.000    0.000    0.000    0.000 rng_prims.py:152(register_run_and_save_rng_state_op)
       24    0.000    0.000    0.000    0.000 random.py:546(uniform)
        1    0.000    0.000    0.000    0.000 pdb.py:129(Pdb)
        1    0.000    0.000    0.000    0.000 _constant_symnode.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
        3    0.000    0.000    0.000    0.000 base_hop.py:60(__init__)
      196    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      4/2    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
       66    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dataclass_impls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 weibull.py:1(<module>)
        3    0.000    0.000    0.012    0.004 platform.py:814(uname)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
       32    0.000    0.000    0.000    0.000 wrappers.py:279(<listcomp>)
        1    0.000    0.000    0.001    0.001 lowrank_multivariate_normal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        3    0.000    0.000    0.001    0.000 queues.py:339(__init__)
       21    0.000    0.000    0.000    0.000 overrides.py:22(get_array_function_like_doc)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:999(entry_points)
        1    0.000    0.000    0.000    0.000 relaxed_bernoulli.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:59(LogRegistry)
       26    0.000    0.000    0.000    0.000 ntpath.py:315(expanduser)
        7    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 multiarray.py:73(_override___module__)
        3    0.000    0.000    0.002    0.001 context.py:110(SimpleQueue)
        5    0.000    0.000    0.011    0.002 __init__.py:2240(_make_reduction_prim)
        1    0.000    0.000    0.002    0.002 rnn.py:800(LSTM)
        1    0.000    0.000    0.001    0.001 feedparser.py:1(<module>)
       87    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.009    0.009 torch_version.py:1(<module>)
       11    0.000    0.000    0.000    0.000 init.py:719(_make_deprecate)
        1    0.000    0.000    0.000    0.000 _named_member_accessor.py:106(NamedMemberAccessor)
        1    0.000    0.000    0.002    0.002 distribution.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _symbolic_trace.py:256(Tracer)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 negative_binomial.py:1(<module>)
        4    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 beta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tarfile.py:715(TarInfo)
        1    0.000    0.000    0.000    0.000 selecting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relaxed_categorical.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:590(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        2    0.000    0.000    0.001    0.000 ntpath.py:618(_getfinalpathname_nonstrict)
